Fecha,Pronostico,Limite_Inferior,Limite_Superior
2018-10-01,8.629198226927059,8.287009500062126,8.971386953791992
2018-10-08,8.56180150553664,8.219612778671706,8.903990232401572
2018-10-15,8.587068623268184,8.244879896403251,8.929257350133117
2018-10-22,8.552381809905425,8.210193083040492,8.894570536770358
2018-10-29,8.515433870657656,8.173245143792723,8.857622597522589
2018-11-05,8.514819664114729,8.172630937249796,8.857008390979662
2018-11-12,8.503450810352286,8.161262083487353,8.845639537217219
2018-11-19,8.536129598001365,8.193940871136432,8.878318324866298
2018-11-26,8.537847760489685,8.195659033624752,8.880036487354618
2018-12-03,8.626155408824445,8.283966681959512,8.968344135689378
2018-12-10,8.553314457065609,8.211125730200676,8.895503183930542
2018-12-17,8.528679268068041,8.186490541203108,8.870867994932974
2018-12-24,8.660025609116998,8.317836882252065,9.00221433598193
